Rank,Who,Number of participations,Score,Level
150,qoo2p5,65,2580,Grandmaster
151,Shef,107,2578,Grandmaster
151,ugly2333,47,2578,Grandmaster
153,zxqfl,64,2575,Grandmaster
153,BledDest,17,2575,Grandmaster
155,tlwpdus,23,2570,Grandmaster
155,djqtxdy,39,2570,Grandmaster
155,crhkr,6,2570,Grandmaster
158,yashChandnani,79,2568,Grandmaster
159,Shik,184,2567,Grandmaster
160,sigma425,85,2566,Grandmaster
161,Kaban-5,128,2565,Grandmaster
162,yfzcsc,25,2564,Grandmaster
163,593119681,16,2563,Grandmaster
163,cookiedoth,42,2563,Grandmaster
165,zhangzy,12,2561,Grandmaster
166,rxdoi,32,2559,Grandmaster
167,supy,12,2557,Grandmaster
168,Shayan,100,2556,Grandmaster
169,Copymaster,87,2555,Grandmaster
170,niyaznigmatul,113,2553,Grandmaster
170,tzuyu_chou,10,2553,Grandmaster
172,ToTLeS,78,2550,Grandmaster
173,kmjp,195,2549,Grandmaster
173,zeronumber,6,2549,Grandmaster
175,lastans,14,2545,Grandmaster
176,Fdg,106,2538,Grandmaster
176,SYury,49,2538,Grandmaster
176,MofK,60,2538,Grandmaster
179,Phronesis,33,2537,Grandmaster
179,Gromah,27,2537,Grandmaster
179,chenjb,28,2537,Grandmaster
179,mango_lassi,59,2537,Grandmaster
179,cz_yixuanxu,5,2537,Grandmaster
184,kdh_9949,40,2535,Grandmaster
184,volamtruyenkyii,11,2535,Grandmaster
186,Coder,51,2534,Grandmaster
186,Haghani,85,2534,Grandmaster
186,D.D.Ge.,11,2534,Grandmaster
189,khsoo01,41,2532,Grandmaster
190,NightGlow,5,2529,Grandmaster
191,satashun,80,2528,Grandmaster
192,mrscherry,9,2526,Grandmaster
193,fsouza,64,2524,Grandmaster
193,amit_swami,10,2524,Grandmaster
195,RNS3,11,2523,Grandmaster
196,izban,137,2518,Grandmaster
196,SebinKim,60,2518,Grandmaster
198,function348,16,2516,Grandmaster
198,fanache99,24,2516,Grandmaster
198,Anadi,55,2516,Grandmaster
198,tfg,89,2516,Grandmaster
198,_Happy_New_Year_,9,2516,Grandmaster
203,Tangjz,17,2512,Grandmaster
203,Andrei1998,61,2512,Grandmaster
205,KADR,212,2511,Grandmaster
205,dario2994,36,2511,Grandmaster
205,ChiliuDog,33,2511,Grandmaster
208,131131yhx,27,2510,Grandmaster
209,betaveros,17,2508,Grandmaster
210,Zhukov_Dmitry,51,2507,Grandmaster
211,fgcos,11,2505,Grandmaster
212,zdolna_kaczka,40,2504,Grandmaster
212,Dreaming_to_be_an_LGM,15,2504,Grandmaster
214,Xellos,100,2502,Grandmaster
215,shadowatyy,76,2501,Grandmaster
215,Isaf27_loves_me,31,2501,Grandmaster
217,Seemann,64,2498,Grandmaster
218,applese,44,2497,Grandmaster
219,mHuman,131,2496,Grandmaster
220,freak93,40,2495,Grandmaster
221,Andrew_Makar,92,2494,Grandmaster
221,demon1999,61,2494,Grandmaster
223,krismaz,71,2491,Grandmaster
223,Atreus,59,2491,Grandmaster
225,ekzhang,23,2490,Grandmaster
226,Rafbill,111,2489,Grandmaster
226,Constantius,52,2489,Grandmaster
228,zeliboba,162,2486,Grandmaster
228,_kun_,59,2486,Grandmaster
228,yarek,29,2486,Grandmaster
